,Unnamed: 0,neuron_path,specials_path,options,compile_options,nodes,ppn,omp_num_threads,nrniv,hoc_name,stop_time,nthread,prof,modules,job_id,bench,macro,time,time0,time_avg
53,88,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,26.0,1.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),31962,False,True,22.65311,28.19032,25.421715
54,129,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,27.0,6.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32033,False,True,26.76913,24.11336,25.441245000000002
55,142,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,24.0,8.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32058,False,True,28.58663,22.30271,25.444670000000002
56,36,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,23.0,8.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32281,False,False,25.54947,25.35177,25.45062
57,50,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,27.0,7.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32271,False,False,26.41902,24.5239,25.47146
58,133,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,28.0,6.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32034,False,True,27.628629999999998,23.398889999999998,25.513759999999998
59,84,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,24.0,14.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32142,False,True,22.20506,28.83227,25.518665
60,99,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,27.0,9.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32075,False,True,23.7219,27.32136,25.521630000000002
61,14,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,25.0,7.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32269,False,False,23.83742,27.36334,25.60038
62,35,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,27.0,5.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32243,False,False,25.521639999999998,25.78988,25.65576
